Code,cycles,P25_min,P50_min,P75_min
000001.SZ,1,30299.100166666667,30299.100166666667,30299.100166666667
000002.SZ,28,4254.859845833334,8639.560916666667,26222.514375
000004.SZ,59,2877.728916666667,5759.410983333333,10077.081075
000005.SZ,14,1432.1514166666666,2750.5942583333335,4993.393041666666
000006.SZ,24,7174.8248416666665,16552.052741666666,28714.31
000007.SZ,34,1452.4163333333333,5709.140658333334,8608.652916666666
000008.SZ,50,1926.3091791666666,5705.196175,10048.517629166667
000009.SZ,11,7214.546583333334,12975.896,20157.932399999998
000010.SZ,68,2860.1187916666668,4321.282816666666,8635.5482125
000011.SZ,1,17267.114316666666,17267.114316666666,17267.114316666666
000012.SZ,6,14033.344945833334,42447.880666666664,52648.3738625
000014.SZ,7,4296.007066666667,5995.877316666667,14281.99
000016.SZ,74,1439.15025,4332.145083333333,9967.439333333334
000017.SZ,5,4320.49235,15824.829833333333,31688.286516666667
000019.SZ,1,37461.030666666666,37461.030666666666,37461.030666666666
000020.SZ,28,1441.1385583333333,5757.700675,14759.365041666666
000021.SZ,16,4307.148708333333,17988.6285,28117.321754166667
000023.SZ,4,2476.1824625,5696.457841666667,11030.131095833334
000025.SZ,6,18816.8354625,25782.242925,48969.310750000004
000026.SZ,8,3614.61875,21598.228241666668,53286.06520833333
000028.SZ,3,1436.3712416666667,1460.666,7953.310083333333
000029.SZ,13,11520.583816666667,18741.6145,35896.789
000030.SZ,5,1448.3368333333333,8459.199833333334,23111.517333333333
000031.SZ,28,2868.277266666667,4396.3046583333335,10087.188995833334
000032.SZ,13,4321.1845,8591.155833333334,14132.531666666666
000034.SZ,1,0.7906666666666666,0.7906666666666666,0.7906666666666666
000035.SZ,15,5777.717500000001,14342.165016666666,38861.90524166667
000036.SZ,10,4677.960841666667,11962.155666666666,19069.581833333334
000037.SZ,24,5399.969133333333,13689.321908333333,25554.891829166667
000039.SZ,2,87983.34270833332,103773.72691666667,119564.111125
000040.SZ,1,5764.721,5764.721,5764.721
000042.SZ,32,3981.5009958333335,10068.108083333333,14758.566004166667
000045.SZ,14,14350.225279166667,19430.468500000003,39455.927345833334
000048.SZ,1,7.974316666666667,7.974316666666667,7.974316666666667
000049.SZ,2,8823.308920833333,16462.925841666667,24102.5427625
000050.SZ,10,10413.167495833333,40093.812175,68652.10919583333
000055.SZ,16,9661.8155875,22283.522,35972.4613625
000056.SZ,99,1442.2725833333334,2900.773833333333,5765.873925
000058.SZ,12,4323.717875,16554.274241666666,52919.6639875
000059.SZ,12,11146.145670833333,25215.86765,55246.08695416666
000060.SZ,3,78477.87250833333,129577.39435,130406.60416666666
000061.SZ,11,9311.824675,20147.094816666668,72577.27158333334
000062.SZ,11,6482.307425,14387.635833333334,26745.63925
000063.SZ,16,11548.745720833333,20158.574166666665,40684.82345416667
000065.SZ,4,2515.8330291666666,9354.68425,16923.922845833335
000066.SZ,7,10799.857658333332,18716.9215,58916.84316666667
000068.SZ,32,4316.284795833333,7936.203241666667,18716.46121666667
000069.SZ,72,1500.6562374999999,4187.688824999999,8384.901491666666
000070.SZ,34,4665.603129166667,8553.268083333332,15480.5786375
000078.SZ,49,2650.834,4298.661666666667,8607.313333333334
000088.SZ,1,7156.210516666667,7156.210516666667,7156.210516666667
000089.SZ,3,50271.40416666666,64574.08168333333,142446.54734166665
000090.SZ,3,59056.87949166667,112339.99398333333,148349.605325
000099.SZ,11,5047.1044249999995,14392.997983333333,21611.341341666666
000100.SZ,1,5810.51435,5810.51435,5810.51435
000151.SZ,25,4327.518,12950.159666666666,24478.899666666668
000153.SZ,4,15468.55595,20261.103991666667,51574.877875000006
000155.SZ,13,11521.13515,24483.990483333335,61878.06035
000156.SZ,12,19531.741829166665,28696.898591666664,43491.549466666664
000157.SZ,2,28856.5526125,46108.24874166667,63359.94487083334
000158.SZ,8,3597.722529166667,9352.398416666667,23771.621125
000159.SZ,24,5687.492945833334,15115.265841666667,24089.701158333333
000301.SZ,3,12154.877833333332,15614.220316666666,118634.87431666667
000333.SZ,15,8034.9124833333335,15810.11585,39757.953925
000338.SZ,6,19982.711283333334,33166.91350833333,152036.09083333332
000400.SZ,6,16699.97385,60327.19250833333,97059.53079166666
000401.SZ,7,13746.464566666666,24470.591,37328.72850833333
000402.SZ,5,5690.302983333333,27165.771833333332,33065.64365
